mode,patch_size,use_attention,use_seasonality,batch_size,hidden_dim,n_layers,lr,drop_prob,weight_decay,grad_clip_norm,warmup_epochs,final_train_loss,final_valid_loss,MAPE,SMAPE,MAE,RMSE,RRSE,CORR,status,error
baseline,1,False,False,256,64,2,0.001,0,0,1.0,5,0.0008187943021766,0.000373973918613,249543.07040038813,1.9039911044132136,12.832734999197145,13.781566393531769,4.055812527304329,-0.0072817696187778,success,
patch,4,False,False,256,64,2,0.001,0,0,1.0,5,0.003426497336477,0.0011719098030072,213175.6970402256,1.7984706331660365,11.55044752072318,13.02475462046513,3.833088449186785,0.0153004920817285,success,
attention,1,True,False,256,64,2,0.001,0,0,1.0,5,0.0006564417853951,0.0004137575160712,279793.1973969837,1.8612411987581252,12.60523486163642,13.66115213243202,4.020375505510952,0.0769942779212911,success,
patch_attention,4,True,False,256,64,2,0.001,0,0,1.0,5,0.0034264929126948,0.0011719090204375,213176.27377802983,1.7984714574641207,11.550458155368291,13.024762038060787,3.83309063213004,0.0153005286938152,success,
season,1,False,True,256,64,2,0.001,0,0,1.0,5,0.0031740597914904,0.001171897450048,213188.04383618457,1.7984887378938963,11.550676004619058,13.024913582277126,3.8331352304662167,0.0153012624581664,success,
full_model,4,True,True,256,64,2,0.001,0,0,1.0,5,0.00068627204746,0.0005012547060485,264105.6491483853,1.9181523958239632,12.73412660150536,13.64265299480422,4.0149313468433006,-0.0449279029990937,success,
